State,Name,code
NJ,"Caldwell, Essex County Airport ",KCDW
NJ,Lakehurst Naval Air Station ,KNEL
NJ,Linden Airport ,KLDJ
NJ,Mcguire Air Force Base ,KWRI
NJ,Miller Air Park ,KMJX
NJ,"Millville, Millville Municipal Airport ",KMIV
NJ,Morristown Municipal ,KMMU
NJ,"Mount Holly, South Jersey Regional Airport ",KVAY
NJ,"Newark, Newark International Airport ",KEWR
NJ,"Somerville, Somerset Airport ",KSMQ
NJ,"Sussex, Sussex Airport ",KFWN
NJ,"Teterboro, Teterboro Airport ",KTEB
NJ,"Trenton, Mercer County Airport ",KTTN
NJ,"Wildwood, Cape May County Airport ",KWWD
NY,Albany International Airport ,KALB
NY,"Binghamton, Binghamton Regional Airport ",KBGM
NY,"Buffalo, Greater Buffalo International Airport ",KBUF
NY,CATTARAUGUS COUNTY-OLEAN ,KOLE
NY,Cortland County-Chase Field ,KN03
NY,"Dansville, Dansville Municipal Airport ",KDSV
NY,"Dunkirk, Chautauqua County / Dunkirk Airport ",KDKK
NY,"East Hampton, East Hampton Airport ",KHTO
NY,"Elmira, Elmira / Corning Regional Airport ",KELM
NY,Farmingdale - Republic Airport ,KFRG
NY,Fort Drum / Wheeler-Sack U. S. Army Airfield ,KGTB
NY,"Fulton, Oswego County Airport ",KFZY
NY,Genesee County Airport ,KGVQ
NY,"Glens Falls, Floyd Bennett Memorial Airport ",KGFL
NY,Griffiss Air Force Base / Rome ,KRME
NY,"Islip, Long Island Mac Arthur Airport ",KISP
NY,"Ithaca, Ithaca Tompkins Regional Airport ",KITH
NY,"Jamestown, Chautauqua County/Jamestown Airport ",KJHW
NY,JOHNSTOWN ,KNY0
NY,"Massena, Massena International-Richards Field ",KMSS
NY,"Montauk, Montauk Airport ",KMTP
NY,"Montgomery, Orange County Airport ",KMGJ
NY,"Monticello, Sullivan County International Airport ",KMSV
NY,"New York City, Central Park ",KNYC
NY,New York Downtown Manhattan ,KJRB
NY,"New York, Kennedy International Airport ",KJFK
NY,"New York, La Guardia Airport ",KLGA
NY,Newburgh / Stewart ,KSWF
NY,"Niagara Falls, Niagara Falls International Airport ",KIAG
NY,Ogdensburg International Airport ,KOGS
NY,"Penn Yan, Penn Yan Airport ",KPEO
NY,Plattsburgh International Airport ,KPBG
NY,POTSDAM ,KPTD
NY,"Poughkeepsie, Dutchess County Airport ",KPOU
NY,"Rochester, Greater Rochester International Airport ",KROC
NY,"Saranac Lake, Adirondack Regional Airport ",KSLK
NY,Schenectady Airport ,KSCH
NY,"Shirley, Brookhaven Airport ",KHWV
NY,Skaneateles Aero Drome ,K6B9
NY,"Syracuse, Syracuse Hancock International Airport ",KSYR
NY,The Gabreski Airport ,KFOK
NY,"Watertown, Watertown International Airport ",KART
NY,WAYNE ,KSDC
NY,"Wellsville, Wellsville Municipal Airport ",KELZ
NY,White Plains - Westchester County Airport ,KHPN
PA,Allentown Queen City Municipal Airport ,KXLL
PA,"Allentown, Lehigh Valley International Airport ",KABE
PA,Altoona - Blair County Airport ,KAOO
PA,Beaver County Airport ,KBVI
PA,"Bedford, Bedford County Airport ",KHMZ
PA,Bradford Regional Airport ,KBFD
PA,"Butler, Butler County Airport/K W Scholter Field ",KBTP
PA,Chester County Airport ,KMQS
PA,"Clearfield, Clearfield-Lawrence Airport ",KFIG
PA,"Doylestown, Doylestown Airport ",KDYL
PA,Du Bois - Jefferson County Airport ,KDUJ
PA,"Erie, Erie International Airport ",KERI
PA,"Franklin, Venango Regional Airport ",KFKL
PA,"Harrisburg, Capital City Airport ",KCXY
PA,"Harrisburg, Harrisburg International Airport ",KMDT
PA,Hazleton Municipal Airport ,KHZL
PA,Indiana / Stewart Field ,KIDI
PA,Johnstown - Cambria County Airport ,KJST
PA,"Lancaster, Lancaster Airport ",KLNS
PA,Latrobe / Westmorland ,KLBE
